               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.049779,            0.018947,           0.0078977,             0.56954,             0.39394,             0.48329,             0.25316,            0.036402,           0.0066161,            0.016422,            0.037884,           0.0058844,           0.0058844
                  69,             0.05252,            0.017356,           0.0070379,             0.45643,             0.39394,             0.45299,             0.16951,            0.036638,           0.0063844,            0.014459,            0.036957,           0.0059573,           0.0059573
                  70,            0.056404,            0.017216,           0.0068715,              0.5035,             0.60841,              0.5195,             0.16965,            0.031191,           0.0078301,            0.013986,             0.03603,           0.0060298,           0.0060298
                  71,            0.050053,            0.018303,            0.007211,             0.41489,             0.43939,             0.35896,             0.12042,            0.036178,           0.0073214,            0.014957,            0.035102,           0.0061019,           0.0061019
                  72,            0.054628,            0.018903,            0.011873,             0.70623,             0.60524,             0.58257,             0.24245,             0.03455,           0.0073826,            0.015216,            0.034174,           0.0061736,           0.0061736
                  73,            0.045622,            0.014536,           0.0084939,             0.33735,             0.43939,             0.36871,             0.14023,            0.035883,            0.006948,            0.018588,            0.033245,           0.0062449,           0.0062449
                  74,            0.051448,            0.017463,           0.0082661,              0.4285,             0.36662,             0.42376,             0.10796,            0.036744,           0.0066292,            0.018192,            0.032316,           0.0063158,           0.0063158
                  75,             0.05061,            0.017154,           0.0066303,             0.43948,             0.39655,             0.37005,             0.15648,             0.03825,           0.0073981,            0.018863,            0.031386,           0.0063862,           0.0063862
                  76,            0.051867,            0.016139,           0.0060918,             0.48819,             0.39394,              0.4279,             0.15708,            0.034079,           0.0083635,            0.018634,            0.030456,           0.0064564,           0.0064564
                  77,            0.049671,            0.016691,           0.0059912,             0.29963,             0.34848,             0.46583,             0.18054,            0.032161,           0.0074317,            0.018893,            0.029526,           0.0065261,           0.0065261
                  78,            0.047499,            0.016833,           0.0059378,              0.6064,             0.34848,             0.47413,             0.21164,            0.035629,            0.006423,            0.019836,            0.028595,           0.0065954,           0.0065954
                  79,            0.053766,            0.014928,           0.0051602,             0.50383,             0.25758,             0.31043,             0.20131,            0.033493,           0.0063412,            0.019141,            0.027664,           0.0066643,           0.0066643
                  80,            0.049068,            0.016831,           0.0055207,             0.85604,             0.34848,             0.56803,             0.31035,            0.033503,           0.0064304,            0.017859,            0.026733,           0.0067328,           0.0067328
                  81,            0.048941,            0.016206,           0.0045006,             0.40726,             0.68182,             0.49063,             0.27956,            0.035452,           0.0067313,            0.015584,            0.025801,           0.0068009,           0.0068009
                  82,            0.053383,            0.015209,           0.0055398,             0.53664,             0.68182,             0.63098,             0.24703,            0.037876,           0.0069182,            0.015311,            0.024869,           0.0068686,           0.0068686
                  83,            0.048091,            0.011038,            0.011768,             0.64043,             0.61661,             0.60306,             0.27412,            0.032655,           0.0075822,            0.014333,            0.023936,            0.006936,            0.006936
                  84,            0.042446,             0.01322,           0.0047766,             0.37676,             0.51515,             0.42684,             0.15542,              0.0351,            0.006994,            0.013824,            0.023003,           0.0070029,           0.0070029
                  85,            0.051262,            0.013085,           0.0058729,              0.6705,             0.51515,             0.54688,             0.28487,            0.036784,           0.0084484,            0.014165,            0.022069,           0.0070694,           0.0070694
                  86,            0.043839,            0.015039,           0.0053309,              0.7662,             0.47529,             0.51657,             0.16293,            0.032997,            0.008009,            0.013893,            0.021136,           0.0071356,           0.0071356
                  87,             0.04693,            0.015198,            0.005287,             0.64618,             0.51515,             0.49631,             0.15234,            0.041197,           0.0088732,            0.014847,            0.020201,           0.0072013,           0.0072013
                  88,            0.044112,            0.013985,           0.0035333,             0.65022,             0.30303,             0.37537,             0.14654,            0.035372,            0.010296,            0.015442,            0.019267,           0.0072667,           0.0072667
                  89,            0.054938,             0.01444,           0.0065926,             0.65918,             0.34848,             0.36673,             0.11302,            0.037157,            0.010666,            0.014966,            0.018332,           0.0073316,           0.0073316
                  90,            0.042905,            0.012801,           0.0048478,             0.33519,             0.46265,             0.43441,             0.19378,            0.037102,            0.008023,            0.014815,            0.017396,           0.0073962,           0.0073962
                  91,            0.046995,            0.012564,           0.0039373,             0.40513,             0.68182,              0.5314,             0.29557,            0.029001,           0.0077224,            0.011814,             0.01646,           0.0074604,           0.0074604
                  92,            0.047277,            0.011365,           0.0051212,             0.30133,             0.68182,             0.37114,             0.16982,            0.035459,            0.007046,            0.011364,            0.015524,           0.0075241,           0.0075241
