               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.026328,           0.0081535,            0.002962,             0.73518,             0.81667,             0.73752,             0.48336,            0.015232,           0.0048897,            0.011206,           0.0077626,           0.0077626,           0.0077626
                 115,             0.02323,           0.0079588,           0.0023718,             0.71835,             0.73274,             0.72644,             0.49492,            0.015032,           0.0044904,            0.011282,           0.0077428,           0.0077428,           0.0077428
                 116,            0.024098,           0.0084026,           0.0034135,             0.67778,             0.83661,             0.73003,             0.47796,            0.018844,           0.0043304,            0.010847,            0.007723,            0.007723,            0.007723
                 117,            0.028449,           0.0088279,           0.0034456,             0.72373,             0.80424,             0.74858,             0.52617,            0.014552,           0.0044448,            0.010114,           0.0077032,           0.0077032,           0.0077032
                 118,            0.025396,           0.0069309,           0.0024077,             0.68674,             0.81667,              0.7342,             0.49665,            0.014858,           0.0045989,            0.012177,           0.0076834,           0.0076834,           0.0076834
                 119,             0.02658,           0.0081762,           0.0019757,             0.66933,               0.675,             0.67172,             0.46142,            0.016144,           0.0035405,            0.017139,           0.0076636,           0.0076636,           0.0076636
                 120,            0.027365,           0.0079988,           0.0016273,             0.66123,                0.65,             0.67959,             0.50548,            0.015961,           0.0035634,            0.017017,           0.0076438,           0.0076438,           0.0076438
                 121,            0.028072,           0.0067081,           0.0023249,             0.63351,             0.75833,             0.68749,             0.49879,            0.013977,           0.0033031,            0.015735,            0.007624,            0.007624,            0.007624
                 122,            0.027888,           0.0079653,           0.0033965,             0.68308,             0.85277,             0.73173,             0.56545,            0.012989,           0.0034146,            0.012805,           0.0076042,           0.0076042,           0.0076042
                 123,            0.024241,            0.008673,            0.001728,             0.79888,             0.92116,              0.7973,             0.54922,            0.014584,           0.0034516,           0.0084625,           0.0075844,           0.0075844,           0.0075844
                 124,            0.029189,           0.0079914,           0.0013328,             0.77202,             0.92465,             0.76688,             0.56462,            0.017982,           0.0033314,            0.010104,           0.0075646,           0.0075646,           0.0075646
                 125,            0.027643,           0.0075527,           0.0015731,             0.79139,             0.89474,             0.78253,             0.59653,             0.01429,           0.0031376,            0.009903,           0.0075448,           0.0075448,           0.0075448
                 126,            0.023732,           0.0082154,           0.0098176,             0.72005,             0.89827,              0.7771,             0.58525,            0.013939,           0.0037289,            0.011691,            0.007525,            0.007525,            0.007525
                 127,            0.025058,            0.007219,           0.0043936,             0.74409,              0.9116,             0.79636,             0.58137,            0.014806,           0.0033019,            0.011691,           0.0075052,           0.0075052,           0.0075052
                 128,            0.024619,           0.0076389,           0.0017217,             0.71451,              0.9204,             0.77992,             0.56015,            0.016691,           0.0034716,            0.011914,           0.0074854,           0.0074854,           0.0074854
                 129,            0.026764,           0.0091439,           0.0034804,             0.66002,               0.925,             0.77417,             0.54242,            0.013303,           0.0034707,            0.011783,           0.0074656,           0.0074656,           0.0074656
                 130,            0.019112,           0.0080292,           0.0030883,             0.80422,             0.74356,             0.80377,             0.57631,            0.013593,           0.0036032,            0.011978,           0.0074458,           0.0074458,           0.0074458
                 131,            0.021077,           0.0087141,           0.0042984,             0.69151,             0.90703,             0.76174,             0.54682,            0.013555,           0.0034537,            0.010672,            0.007426,            0.007426,            0.007426
                 132,            0.024618,           0.0073747,           0.0035803,             0.67286,             0.81994,             0.77053,             0.57682,             0.01327,           0.0034087,            0.015518,           0.0074062,           0.0074062,           0.0074062
                 133,            0.020294,           0.0066923,           0.0029537,             0.60139,             0.74978,             0.73902,             0.53825,            0.014146,           0.0034683,            0.018188,           0.0073864,           0.0073864,           0.0073864
                 134,            0.022833,           0.0085444,           0.0044093,             0.58683,             0.73049,             0.73745,              0.5543,            0.013655,           0.0033944,            0.018683,           0.0073666,           0.0073666,           0.0073666
                 135,            0.024438,           0.0084824,           0.0050967,             0.65397,             0.75833,             0.78392,              0.5613,            0.016172,           0.0040109,            0.017151,           0.0073468,           0.0073468,           0.0073468
                 136,            0.023865,           0.0074652,           0.0016649,             0.67091,             0.86206,             0.79193,             0.56841,            0.016648,           0.0044093,            0.013959,            0.007327,            0.007327,            0.007327
                 137,            0.030074,           0.0080496,           0.0044963,             0.69701,             0.87051,             0.78394,             0.57997,            0.014197,           0.0046537,            0.010855,           0.0073072,           0.0073072,           0.0073072
                 138,            0.024622,           0.0078044,           0.0049953,             0.69186,             0.86516,             0.78096,             0.60038,            0.013553,           0.0044219,            0.011697,           0.0072874,           0.0072874,           0.0072874
                 139,            0.022342,           0.0084108,            0.001719,             0.69311,             0.86632,             0.77917,             0.58835,            0.014945,           0.0042861,            0.012808,           0.0072676,           0.0072676,           0.0072676
                 140,             0.02774,           0.0082327,           0.0019834,             0.73109,             0.82094,             0.77694,             0.53785,            0.017177,           0.0045328,            0.014786,           0.0072478,           0.0072478,           0.0072478
                 141,            0.023556,           0.0070246,           0.0026959,             0.70514,             0.79852,             0.77078,              0.5756,             0.01599,           0.0048771,            0.013705,            0.007228,            0.007228,            0.007228
                 142,            0.020191,            0.008145,           0.0045982,             0.64768,             0.74167,             0.75918,             0.55988,            0.015073,           0.0055737,            0.014386,           0.0072082,           0.0072082,           0.0072082
                 143,            0.021216,           0.0082665,           0.0028364,             0.66304,             0.80237,             0.75005,             0.53323,            0.016703,           0.0049725,            0.015067,           0.0071884,           0.0071884,           0.0071884
                 144,            0.026489,           0.0074922,           0.0026871,             0.67923,              0.8415,              0.7547,             0.55126,            0.015483,           0.0042274,            0.016187,           0.0071686,           0.0071686,           0.0071686
                 145,             0.02466,           0.0072011,           0.0028895,             0.66632,             0.85683,             0.79281,             0.58988,             0.01448,           0.0039041,            0.015366,           0.0071488,           0.0071488,           0.0071488
                 146,            0.023588,           0.0081241,           0.0051998,             0.67504,                 0.9,             0.76111,             0.58296,            0.013109,           0.0034468,            0.012102,            0.007129,            0.007129,            0.007129
                 147,            0.021621,           0.0073645,           0.0046704,             0.70801,             0.88952,              0.7479,             0.55802,            0.013201,           0.0033958,            0.011748,           0.0071092,           0.0071092,           0.0071092
                 148,             0.02292,           0.0078109,           0.0045449,             0.68106,              0.8852,             0.74761,             0.56171,            0.014968,           0.0034652,             0.01236,           0.0070894,           0.0070894,           0.0070894
                 149,              0.0206,           0.0072803,           0.0031102,             0.69709,             0.88726,             0.80837,             0.57589,             0.01491,           0.0035169,            0.011546,           0.0070696,           0.0070696,           0.0070696
                 150,            0.022115,            0.009324,           0.0044215,             0.69214,             0.90466,             0.80938,             0.59103,            0.014466,           0.0035198,            0.011151,           0.0070498,           0.0070498,           0.0070498
                 151,            0.020323,           0.0067322,           0.0027974,             0.67865,             0.89125,             0.80985,             0.57845,            0.014399,           0.0035207,            0.012506,             0.00703,             0.00703,             0.00703
                 152,            0.023778,           0.0066944,           0.0051788,              0.7012,               0.875,             0.78246,             0.54757,            0.016568,           0.0035703,             0.01254,           0.0070102,           0.0070102,           0.0070102
                 153,            0.024055,           0.0078039,           0.0027668,             0.70807,                 0.9,             0.81125,             0.59285,            0.014921,            0.003448,            0.010472,           0.0069904,           0.0069904,           0.0069904
                 154,            0.021717,           0.0073387,           0.0027953,              0.6237,             0.90455,             0.80359,             0.59171,            0.013986,           0.0035682,           0.0095856,           0.0069706,           0.0069706,           0.0069706
